,tsne1,tsne2,tsne_clusters,soundpath
0,-4.310722,5.4986887,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_100_19700101_122640_short.WAV
1,-4.5095367,5.4156175,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_101_19700101_122640_short.WAV
2,-4.4633465,5.386995,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_102_19700101_122640_short.WAV
3,-4.126239,5.425676,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_103_19700101_122640_short.WAV
4,-6.3071,4.7902308,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_104_19700101_122640_short.WAV
5,-2.4454367,-8.233684,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_105_19700101_122640_short.WAV
6,-3.697118,5.3609943,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_106_19700101_122640_short.WAV
7,-2.42793,-8.300094,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_107_19700101_122640_short.WAV
8,-2.4063601,5.1584506,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_108_19700101_122640_short.WAV
9,-5.3359175,8.15189,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_109_19700101_122640_short.WAV
10,-8.248837,10.041254,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_10_19700101_122640_short.WAV
11,-2.4708445,5.548253,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_110_19700101_122640_short.WAV
12,-2.3375738,-8.116921,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_111_19700101_122640_short.WAV
13,-1.191129,-7.4380827,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_112_19700101_122640_short.WAV
14,-0.37699762,-7.4584107,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_113_19700101_122640_short.WAV
15,-2.1607578,5.8113136,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_114_19700101_122640_short.WAV
16,-2.1168332,6.0336733,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_115_19700101_122640_short.WAV
17,-2.368127,5.047767,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_116_19700101_122640_short.WAV
18,-2.2911167,5.219553,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_117_19700101_122640_short.WAV
19,-2.2843592,5.091411,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_118_19700101_122640_short.WAV
20,-2.1487575,5.172408,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_119_19700101_122640_short.WAV
21,-8.336007,9.932378,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_11_19700101_122640_short.WAV
22,-2.014472,-7.6948895,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_120_19700101_122640_short.WAV
23,-2.085996,-7.7722163,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_121_19700101_122640_short.WAV
24,-2.0366304,5.142768,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_122_19700101_122640_short.WAV
25,-2.1867077,5.2384562,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_123_19700101_122640_short.WAV
26,-2.3066766,4.7644897,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_124_19700101_122640_short.WAV
27,-2.1543097,4.876258,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_125_19700101_122640_short.WAV
28,-2.0907755,4.91983,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_126_19700101_122640_short.WAV
29,-2.1511893,5.1930404,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_127_19700101_122640_short.WAV
30,-2.2502096,4.830953,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_128_19700101_122640_short.WAV
31,-1.680902,-7.584021,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_129_19700101_122640_short.WAV
32,-8.460449,10.222109,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_12_19700101_122640_short.WAV
33,-2.1284158,-7.8528805,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_130_19700101_122640_short.WAV
34,-0.49460596,4.9158254,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_131_19700101_122640_short.WAV
35,-0.19197185,-7.4730406,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_132_19700101_122640_short.WAV
36,-2.4491467,-8.426519,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_133_19700101_122640_short.WAV
37,-1.9795305,-7.719534,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_134_19700101_122640_short.WAV
38,-1.5814056,-7.56484,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_135_19700101_122640_short.WAV
39,-0.2984754,4.828057,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_136_19700101_122640_short.WAV
40,-1.0187136,4.8964562,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_137_19700101_122640_short.WAV
41,0.4021607,4.7606134,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_138_19700101_122640_short.WAV
42,-0.16608696,-7.482624,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_139_19700101_122640_short.WAV
43,-8.820931,10.883419,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_13_19700101_122640_short.WAV
44,-2.4482348,-8.430159,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_140_19700101_122640_short.WAV
45,-0.28980616,-7.480326,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_141_19700101_122640_short.WAV
